years,mock_exams,learning_materials,private_tutoring,students_challenge,school_resources,extracurriculum,passing_rate,influencing_factors,parents_communication
1,Once a term,No,Yes,Lack of study material,Yes,Monthly,31-50,Access to resources,Once a term
1,Never,No,Yes,Low motivation,No,Weekly,0-10,Student motivation,Once a term
7,Monthly,No,Yes,Difficulty understanding subjects,No,Once a term,0-10,Student motivation,Once a term
5,Never,No,No,Lack of study material,Yes,Weekly,0-10,Student motivation,Once a term
6,Once a term,Yes,Yes,Poor study habit,No,Never,11-30%,Access to resources,Weekly
4,Weekly,No,No,Difficulty understanding subjects,Yes,Once a term,0-10,Access to resources,Never
10,Weekly,Yes,No,Lack of study material,No,Weekly,31-50,Access to resources,Once a term
4,Once a term,No,Yes,Low motivation,No,Weekly,>51,Student motivation,Weekly
9,Once a term,Yes,No,Lack of study material,Yes,Never,31-50,Quality of teaching,Monthly
8,Weekly,Yes,Yes,Lack of study material,No,Once a term,>51,Access to resources,Never
1,Once a term,No,No,Difficulty understanding subjects,No,Once a term,>51,Student motivation,Once a term
6,Once a term,Yes,Yes,Difficulty understanding subjects,No,Never,>51,Socioeconomic factors,Once a term
9,Weekly,Yes,Yes,Poor study habit,Yes,Monthly,0-10,Access to resources,Once a term
3,Once a term,Yes,Yes,Low motivation,No,Weekly,0-10,Student motivation,Never
9,Once a term,Yes,Yes,Difficulty understanding subjects,No,Monthly,31-50,Access to resources,Monthly
10,Monthly,Yes,No,Lack of study material,Yes,Never,>51,Access to resources,Weekly
7,Never,No,No,Lack of study material,Yes,Weekly,>51,Student motivation,Weekly
7,Weekly,Yes,No,Lack of study material,No,Never,11-30%,Quality of teaching,Never
2,Monthly,Yes,Yes,Lack of study material,Yes,Never,11-30%,Socioeconomic factors,Never
9,Weekly,Yes,Yes,Lack of study material,Yes,Monthly,>51,Quality of teaching,Monthly
8,Monthly,No,No,Low motivation,Yes,Weekly,>51,Quality of teaching,Never
2,Never,Yes,No,Low motivation,No,Once a term,>51,Student motivation,Monthly
9,Weekly,No,No,Low motivation,No,Once a term,31-50,Quality of teaching,Never
9,Once a term,Yes,Yes,Low motivation,Yes,Weekly,31-50,Socioeconomic factors,Never
6,Weekly,Yes,Yes,Lack of study material,No,Monthly,>51,Socioeconomic factors,Never
5,Once a term,No,Yes,Lack of study material,No,Weekly,0-10,Quality of teaching,Weekly
4,Weekly,No,Yes,Difficulty understanding subjects,No,Once a term,>51,Socioeconomic factors,Monthly
9,Monthly,Yes,Yes,Lack of study material,Yes,Never,11-30%,Socioeconomic factors,Once a term
6,Never,Yes,Yes,Poor study habit,Yes,Once a term,0-10,Socioeconomic factors,Never
9,Weekly,Yes,Yes,Poor study habit,No,Never,0-10,Quality of teaching,Monthly
7,Monthly,Yes,No,Difficulty understanding subjects,Yes,Weekly,0-10,Access to resources,Monthly
7,Once a term,No,No,Lack of study material,No,Weekly,>51,Quality of teaching,Weekly
9,Never,No,No,Lack of study material,Yes,Monthly,0-10,Student motivation,Monthly
5,Monthly,No,Yes,Low motivation,Yes,Weekly,>51,Socioeconomic factors,Monthly
